#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730663048;03.11.2024;19:44:08;18.8;0;346;338;0;0;346;
1730663951;03.11.2024;19:59:11;18.8;0;346;338;0;0;346;
1730664854;03.11.2024;20:14:14;18.8;0;346;331;0;0;360;
1730665757;03.11.2024;20:29:17;18.7;0;353;360;0;0;353;
1730666660;03.11.2024;20:44:20;18.8;0;360;346;0;0;346;
1730667564;03.11.2024;20:59:24;18.5;0;353;353;0;0;338;
1730668467;03.11.2024;21:14:27;18.6;0;338;346;0;0;346;
1730669370;03.11.2024;21:29:30;18.6;0;353;367;0;0;360;
1730670273;03.11.2024;21:44:33;18.8;0;353;353;0;0;346;
1730671176;03.11.2024;21:59:36;18.7;0;353;353;0;0;353;
1730672079;03.11.2024;22:14:39;18.7;0;331;338;0;0;346;
1730672983;03.11.2024;22:29:43;18.5;0;338;353;0;0;338;
1730673886;03.11.2024;22:44:46;18.5;0;338;346;0;0;346;
1730674789;03.11.2024;22:59:49;18.7;0;353;367;0;0;346;
1730675692;03.11.2024;23:14:52;18.3;0;346;353;0;0;346;
1730676595;03.11.2024;23:29:55;18.5;0;338;353;0;0;346;
1730677498;03.11.2024;23:44:58;18.5;0;360;331;0;0;346;
1730678402;04.11.2024;00:00:02;18.6;0;331;353;0;0;353;
1730679305;04.11.2024;00:15:05;18.6;0;353;346;0;0;353;
1730680208;04.11.2024;00:30:08;18.6;0;353;353;0;0;346;
1730681111;04.11.2024;00:45:11;18.5;0;346;360;0;0;353;
1730682014;04.11.2024;01:00:14;18.6;0;346;338;0;0;346;
1730682918;04.11.2024;01:15:18;18.6;0;331;353;0;0;353;
1730683821;04.11.2024;01:30:21;18.5;0;353;367;0;0;346;
1730684724;04.11.2024;01:45:24;18.6;0;338;346;0;0;346;
1730685627;04.11.2024;02:00:27;18.8;0;367;371;0;0;353;
1730686530;04.11.2024;02:15:30;18.6;0;338;346;0;0;346;
1730687433;04.11.2024;02:30:33;18.5;0;353;338;0;0;338;
1730688336;04.11.2024;02:45:36;18.5;0;338;346;0;0;353;
1730689239;04.11.2024;03:00:39;18.3;0;371;346;0;0;346;
1730690143;04.11.2024;03:15:43;18.5;0;360;353;0;0;353;
1730691046;04.11.2024;03:30:46;18.8;0;331;346;0;0;353;
1730691949;04.11.2024;03:45:49;18.5;0;360;338;0;0;338;
1730692852;04.11.2024;04:00:52;18.8;0;353;353;0;0;346;
1730693755;04.11.2024;04:15:55;19;0;353;360;0;0;353;
1730694658;04.11.2024;04:30:58;19;0;353;346;0;0;353;
1730695561;04.11.2024;04:46:01;19.1;0;346;353;0;0;353;
1730696465;04.11.2024;05:01:05;19.2;0;360;338;0;0;353;
1730697368;04.11.2024;05:16:08;19.1;0;367;367;0;0;346;
1730698271;04.11.2024;05:31:11;19.1;0;360;338;0;0;353;
1730699174;04.11.2024;05:46:14;19.3;0;338;353;0;0;353;
1730700077;04.11.2024;06:01:17;19.3;0;367;360;0;0;353;
1730700980;04.11.2024;06:16:20;19.5;0;346;353;0;0;346;
1730701884;04.11.2024;06:31:24;19.4;0;353;360;0;0;353;
1730702787;04.11.2024;06:46:27;19.3;0;371;346;0;0;353;
1730703690;04.11.2024;07:01:30;19.3;0;367;353;0;0;353;
1730704593;04.11.2024;07:16:33;19.2;0;353;346;0;0;353;
1730705496;04.11.2024;07:31:36;19.1;0;353;353;0;0;353;
1730706399;04.11.2024;07:46:39;19;0;346;338;0;0;353;
1730707303;04.11.2024;08:01:43;18.9;0;353;367;0;0;346;
1730708206;04.11.2024;08:16:46;19;0;331;353;0;0;346;
1730709109;04.11.2024;08:31:49;19.1;0;346;353;0;0;353;
1730710012;04.11.2024;08:46:52;19.2;0;360;346;0;0;353;
1730710915;04.11.2024;09:01:55;19.3;0;346;346;0;0;360;
1730711818;04.11.2024;09:16:58;19.5;0;353;331;0;0;353;
